SongName,ArtistName,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms
Saiyaan Ji,Yo Yo Honey Singh,62,0.896,0.678,0,-2.546,0,0.0815,0.0137,4.10E-05,0.11,0.604,130.024,205450
Falling,Trevor Daniel,84,0.785,0.431,10,-8.756,0,0.0364,0.123,0,0.0887,0.236,127.085,159382
Shayad,Pritam,72,0.483,0.468,8,-7.642,1,0.0341,0.785,0,0.152,0.319,135.864,247941
"Malang (Title Track) [From ""Malang - Unleash The Madness""]",Ved Sharma,68,0.384,0.728,7,-6.503,0,0.0623,0.329,1.85E-05,0.329,0.311,156.396,287374
Genda Phool (feat. Payal Dev),Badshah,67,0.955,0.538,1,-8.394,1,0.0734,0.132,0.00146,0.0704,0.837,116.977,170769
"Humraah (From ""Malang - Unleash The Madness"")",Sachet Tandon,69,0.468,0.854,11,-3.932,0,0.059,0.176,0,0.126,0.277,155.867,299822
Baila Conmigo (with Rauw Alejandro),Selena Gomez,82,0.823,0.544,5,-7.132,1,0.0715,0.0215,0.00315,0.0966,0.664,149.903,186088
You (with Marshmello & Vance Joy),benny blanco,73,0.668,0.563,11,-6.433,1,0.0522,0.0493,0,0.119,0.305,103.116,169632
Higher (feat. iann dior),Clean Bandit,71,0.716,0.736,1,-5.18,0,0.0363,0.336,1.40E-05,0.137,0.542,104.018,203953
Element,Pop Smoke,80,0.772,0.878,2,-4.22,1,0.324,0.0301,2.18E-06,0.251,0.305,61.311,135747
HUMBLE.,Kendrick Lamar,84,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39E-05,0.0958,0.421,150.011,177000
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,78,0.502,0.786,9,-4.378,0,0.317,0.255,0,0.65,0.739,169.021,243491
Dip (feat. Nicki Minaj) (feat. Nicki Minaj),Tyga,65,0.885,0.543,2,-6.338,1,0.2,0.0311,0,0.154,0.43,99.026,195992
goosebumps,Travis Scott,87,0.841,0.728,7,-3.37,1,0.0484,0.0847,0,0.149,0.43,130.049,243837
Walk It Talk It,Migos,78,0.907,0.633,2,-5.145,1,0.184,0.0876,2.60E-06,0.106,0.395,145.914,276147
King Kunta,Kendrick Lamar,76,0.884,0.657,6,-4.569,0,0.0977,0.00589,0,0.154,0.489,107.059,234693
Swang,Rae Sremmurd,0,0.681,0.314,8,-9.319,1,0.0583,0.2,9.82E-06,0.1,0.166,139.991,208120
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,74,0.609,0.668,7,-4.284,1,0.0367,0.0552,0,0.167,0.811,80.924,288600
Swang,Rae Sremmurd,0,0.681,0.314,8,-9.319,1,0.0583,0.2,9.82E-06,0.1,0.166,139.991,208120
Another Love,Tom Odell,88,0.445,0.537,4,-8.532,0,0.04,0.695,1.65E-05,0.0944,0.131,122.769,244360
Another Love,Tom Odell,88,0.445,0.537,4,-8.532,0,0.04,0.695,1.65E-05,0.0944,0.131,122.769,244360
People Help the People,Birdy,67,0.407,0.308,10,-9.001,0,0.0296,0.778,1.46E-05,0.092,0.153,73.254,256236
unravel (acoustic version) - Acoustic Version,TK from Ling tosite sigure,56,0.289,0.321,10,-8.569,0,0.0353,0.935,0,0.108,0.214,111.841,145714
"Isabella's Lullaby (from ""The Promised Neverland"")",AmaLee,66,0.181,0.913,5,-3.318,1,0.152,0.0501,0,0.282,0.392,82.176,174893
asphyxia,Cö Shu Nie,66,0.528,0.593,1,-3.68,1,0.0545,0.289,0.00054,0.0724,0.351,167.238,273583
Kokoronashi,majiko,66,0.528,0.593,1,-3.68,1,0.0545,0.289,0.00054,0.0724,0.351,167.238,273583
Kokoronashi,majiko,81,0.865,0.521,0,-6.932,1,0.0371,0.548,0.000115,0.0989,0.748,129.059,244885
unravel (acoustic version) - Acoustic Version,TK from Ling tosite sigure,73,0.315,0.22,9,-21.343,1,0.0514,0.987,0.943,0.0802,0.116,145.195,188787
Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,75,0.483,0.192,4,-15.378,0,0.0469,0.991,0.908,0.106,0.0542,100.848,140733
Somebody That I Used To Know,Gotye,63,0.25,0.136,10,-12.162,1,0.037,0.673,0.000157,0.107,0.0981,118.086,292333
River Flows In You,Yiruma,87,0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,0.225,146.04,110886
"Comptine d'un autre été, l'après-midi",Yann Tiersen,62,0.572,0.75,1,-5.042,0,0.0604,0.0946,0,0.378,0.475,144.081,182627
You Raise Me Up,Josh Groban,69,0.773,0.699,1,-5.982,0,0.0958,0.488,3.60E-06,0.0814,0.513,104.941,180120
Hope,XXXTENTACION,69,0.475,0.124,2,-9.463,1,0.0444,0.926,0,0.0972,0.19,94.42,207310
Close To Me,Ellie Goulding,49,0.598,0.43,11,-11.236,1,0.0544,0.186,0,0.0924,0.0843,91.923,98508
Hope,The Chainsmokers,69,0.658,0.539,3,-7.043,1,0.0433,0.857,1.45E-06,0.0999,0.461,80.088,235297
Baarishein,Anuv Jain,80,0.772,0.878,2,-4.22,1,0.324,0.0301,2.18E-06,0.251,0.305,61.311,135747
Why Did I Answer?,Porsche Love,0,0.879,0.574,10,-5.602,0,0.391,0.519,8.76E-06,0.144,0.346,144.911,243463
Baari,Bilal Saeed,62,0.432,0.612,11,-8.846,0,0.211,0.00185,0,0.308,0.253,88.716,205333
Element,Pop Smoke,72,0.701,0.554,1,-5.909,1,0.187,0.217,1.45E-06,0.419,0.0634,97.129,235187
Big Gangsta,Kevin Gates,81,0.817,0.775,10,-4.767,0,0.108,0.277,0,0.108,0.806,126.984,234334
Famous (I'm The One) (feat. Yo Gotti & DeJ Loaf),Mozzy,0,0.548,0.805,7,-5.732,1,0.351,0.212,0.000405,0.408,0.649,142.096,216387
Beware,Big Sean,69,0.475,0.124,2,-9.463,1,0.0444,0.926,0,0.0972,0.19,94.42,207310
The Thrill,Wiz Khalifa,95,0.563,0.664,9,-5.044,1,0.154,0.335,0,0.0849,0.688,166.928,178147
Dior,Pop Smoke,90,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,208867
Baarishein,Anuv Jain,88,0.759,0.459,8,-5.187,1,0.0948,0.00323,0,0.0906,0.695,109.997,164442
good 4 u,Olivia Rodrigo,91,0.593,0.503,8,-6.725,0,0.22,0.293,0,0.405,0.71,178.781,137704
Kiss Me More (feat. SZA),Doja Cat,84,0.45,0.329,9,-12.603,0,0.0441,0.818,0.00109,0.135,0.266,71.884,183624
Butter,BTS,86,0.662,0.413,0,-7.357,1,0.0299,0.213,0,0.134,0.467,93.005,161385
MONTERO (Call Me By Your Name),Lil Nas X,87,0.586,0.616,5,-7.964,1,0.0324,0.182,0,0.0927,0.719,148.088,242096
Arcade,Duncan Laurence,89,0.702,0.825,6,-3.787,0,0.0601,0.00883,0,0.0674,0.915,102.977,203064
WITHOUT YOU,The Kid LAROI,91,0.677,0.696,0,-6.181,1,0.119,0.321,0,0.42,0.464,90.03,198082
Leave The Door Open,Bruno Mars,92,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44E-05,0.0936,0.593,118.091,191014
Levitating (feat. DaBaby),Dua Lipa,90,0.442,0.612,2,-7.222,1,0.112,0.584,5.70E-06,0.37,0.178,180.917,215507
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,85,0.713,0.676,10,-5.483,1,0.027,0.0377,0,0.154,0.721,99.048,227395
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,40,0.523,0.108,0,-21.457,1,0.0411,0.947,0.826,0.0987,0.139,112.001,131637
deja vu,Olivia Rodrigo,95,0.563,0.664,9,-5.044,1,0.154,0.335,0,0.0849,0.688,166.928,178147
Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,40,0.523,0.108,0,-21.457,1,0.0411,0.947,0.826,0.0987,0.139,112.001,131637
Sygrayem (Let's Play),Carlos Rafael Rivera,74,0.572,0.759,2,-4.312,1,0.0506,0.127,0,0.224,0.519,80.95,163733
good 4 u,Olivia Rodrigo,87,0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41E-06,0.118,0.637,119.976,154983
Sygrayem (Let's Play),Carlos Rafael Rivera,95,0.563,0.664,9,-5.044,1,0.154,0.335,0,0.0849,0.688,166.928,178147
Our Song,Anne-Marie,82,0.855,0.463,3,-7.454,1,0.0367,0.217,1.77E-05,0.347,0.866,102.931,122773
Leave Before You Love Me (with Jonas Brothers),Marshmello,85,0.595,0.784,1,-4.878,1,0.102,0.216,0,0.0608,0.479,124.111,183726
good 4 u,Olivia Rodrigo,0,0.548,0.805,7,-5.732,1,0.351,0.212,0.000405,0.408,0.649,142.096,216387
Build a Bitch,Bella Poarch,69,0.475,0.124,2,-9.463,1,0.0444,0.926,0,0.0972,0.19,94.42,207310
Heartbreak Anthem (with David Guetta & Little Mix),Galantis,75,0.508,0.889,7,-2.755,0,0.0862,0.0495,0,0.0984,0.332,135.014,238360
Dior,Pop Smoke,69,0.475,0.124,2,-9.463,1,0.0444,0.926,0,0.0972,0.19,94.42,207310
Baarishein,Anuv Jain,75,0.508,0.889,7,-2.755,0,0.0862,0.0495,0,0.0984,0.332,135.014,238360
unravel,TK from Ling tosite sigure,73,0.536,0.966,6,-2.93,0,0.0557,0.12,0,0.0477,0.85,152.078,215707
Baarishein,Anuv Jain,0,0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,239836
unravel,TK from Ling tosite sigure,81,0.447,0.449,2,-10.634,1,0.0376,0.934,0.961,0.0697,0.036,92.468,315427
ブルーバード,Ikimonogakari,80,0.772,0.878,2,-4.22,1,0.324,0.0301,2.18E-06,0.251,0.305,61.311,135747
Lucid Dreams,Juice WRLD,82,0.905,0.647,10,-5.065,0,0.107,0.0187,0,0.282,0.367,130.97,190534
Experience,Ludovico Einaudi,72,0.868,0.479,4,-6.687,0,0.445,0.703,0,0.102,0.776,133.928,115200
Element,Pop Smoke,72,0.701,0.554,1,-5.909,1,0.187,0.217,1.45E-06,0.419,0.0634,97.129,235187
Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,78,0.828,0.434,5,-10.609,1,0.301,0.0394,0,0.0806,0.38,115.071,131600
Deep End Freestyle,Sleepy Hallow,74,0.572,0.759,2,-4.312,1,0.0506,0.127,0,0.224,0.519,80.95,163733
Beware,Big Sean,78,0.828,0.434,5,-10.609,1,0.301,0.0394,0,0.0806,0.38,115.071,131600
Gang Shit No Lame Shit,Key Glock,69,0.475,0.124,2,-9.463,1,0.0444,0.926,0,0.0972,0.19,94.42,207310
Our Song,Anne-Marie,64,0.474,0.792,5,-3.302,1,0.051,0.0662,1.09E-06,0.277,0.31,141.926,251831
Gang Shit No Lame Shit,Key Glock,66,0.494,0.651,11,-4.127,0,0.0384,0.0819,0,0.104,0.162,149.979,222400
Baarishein,Anuv Jain,85,0.672,0.52,8,-7.747,1,0.0353,0.859,0,0.115,0.37,120.001,226600
Sideways,ILLENIUM,66,0.524,0.882,5,-3.038,1,0.0367,0.108,1.10E-06,0.071,0.399,119.94,204547
Nightlight,ILLENIUM,82,0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.161,139.028,285120
